,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,last_available_deaths,order_for_place,new_confirmed,new_deaths,date,cfr
0,202009,61626160.0,61260115.0,0,0,7,0.05679,0.0,0,15,2,0,2020-02-25,0.0
1,202010,86276624.0,85764161.0,0,1,33,0.26775000000000004,0.0,0,63,10,0,2020-03-01,0.0
2,202011,86276624.0,85764161.0,0,1,227,1.8417399999999997,0.0,0,112,50,0,2020-03-08,0.0
3,202012,86276624.0,85764161.0,0,2,1448,11.748259999999998,0.09849999999999999,27,161,244,9,2020-03-15,1.8646408839779007
4,202013,86276624.0,85764161.0,0,4,4627,37.54087,0.3269,248,210,738,53,2020-03-22,5.359844391614437
5,202014,86276624.0,85764161.0,0,1,16093,130.56956,0.4437,992,259,2452,150,2020-03-29,6.164170757472193
6,202015,86276624.0,85764161.0,0,0,34161,277.16315000000003,0.47120000000000006,2314,308,2635,210,2020-04-05,6.773806387400836
7,202016,86276624.0,85764161.0,0,0,53319,432.60038,0.5121,3903,357,3297,264,2020-04-12,7.320092274798852
8,202017,86276624.0,85764161.0,0,0,76639,621.80573,0.5415,5967,406,3670,413,2020-04-19,7.7858531557040145
9,202018,86276624.0,85764161.0,0,0,116267,943.32504,0.5917999999999999,9836,455,6396,562,2020-04-26,8.459838131198017
10,202019,86276624.0,85764161.0,0,0,160649,1303.41563,0.5837999999999999,13386,504,7293,562,2020-05-03,8.332451493628968
11,202020,86276624.0,85764161.0,0,0,215456,1748.0888,0.5699,17508,553,8642,569,2020-05-10,8.126021090152978
12,202021,86276624.0,85764161.0,0,0,278536,2259.88444,0.5516,21936,602,9458,699,2020-05-17,7.875463135824454
13,202022,86276624.0,85764161.0,0,0,355628,2885.36557,0.531,26919,651,13732,748,2020-05-24,7.5694264793548305
14,202023,86276624.0,85764161.0,0,0,467138,3790.0949800000003,0.47980000000000006,31972,700,15242,662,2020-05-31,6.844230184656354
15,202024,86276624.0,85764161.0,0,0,565701,4589.77973,0.4531,36598,749,14164,698,2020-06-07,6.46949536946196
16,202025,86276624.0,85764161.0,0,0,689982,5598.12586,0.42400000000000004,41776,798,17566,772,2020-06-14,6.054650701032781
17,202026,86276624.0,85764161.0,0,0,798979,6482.46622,0.40950000000000003,46705,847,17168,611,2020-06-21,5.845585428403
18,202027,86276624.0,85764161.0,0,0,915384,7426.9109100000005,0.3892999999999999,50895,896,15003,615,2020-06-28,5.5599617209826695
19,202028,86276624.0,85764161.0,0,0,1014712,8232.80244,0.38,55091,945,13603,579,2020-07-05,5.429225238294215
20,202029,86276624.0,85764161.0,0,0,1116907,9061.95519,0.37139999999999995,59281,994,13729,594,2020-07-12,5.307603945538886
21,202030,86276624.0,85764161.0,0,0,1200356,9739.013439999999,0.3675,62981,1043,14021,435,2020-07-19,5.246860098170876
22,202031,86276624.0,85764161.0,0,0,1327257,10768.61678,0.34750000000000003,65815,1092,20559,414,2020-07-26,4.958723141034479
